HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
"Arsenal","West Ham",1,0,"H","M Jones",20,6,13,3,7,4,14,18,2,2,0,0
"Arsenal","Newcastle",0,1,"A","M Dean",11,7,8,2,12,2,16,12,3,1,1,0
"Wolves","Arsenal",0,2,"A","M Halsey",14,12,7,8,5,2,7,14,1,2,0,0
"Everton","Arsenal",1,2,"A","H Webb",14,13,7,8,9,2,15,14,2,2,0,0
"Arsenal","Tottenham",2,3,"A","P Dowd",12,10,7,6,2,6,17,16,3,1,0,0
"Aston Villa","Arsenal",2,4,"A","M Clattenburg",6,17,4,10,3,8,10,7,1,1,0,0
"Arsenal","Fulham",2,1,"H","C Foy",15,11,9,7,3,7,7,5,0,0,0,0
"Man United","Arsenal",1,0,"H","H Webb",14,11,10,6,5,4,7,16,0,4,0,0
"Arsenal","Chelsea",3,1,"H","M Clattenburg",10,10,8,4,4,6,12,16,2,3,0,0
"Wigan","Arsenal",2,2,"D","L Probert",7,15,5,9,3,4,16,11,1,0,1,0
"Birmingham","Arsenal",0,3,"A","P Walton",2,18,1,11,4,5,7,9,3,1,0,0
"Arsenal","Man City",0,0,"D","M Jones",13,5,8,0,7,2,6,12,0,2,1,1
"West Ham","Arsenal",0,3,"A","A Marriner",7,19,6,13,4,10,8,7,1,0,0,0
"Arsenal","Wigan",3,0,"H","K Friend",23,3,15,1,8,1,6,14,0,1,0,1
"Arsenal","Everton",2,1,"H","L Mason",19,4,10,4,5,7,12,14,3,5,0,0
"Newcastle","Arsenal",4,4,"D","P Dowd",16,13,8,10,12,6,13,15,2,3,0,1
"Arsenal","Wolves",2,0,"H","C Foy",17,2,8,0,3,6,15,9,0,1,0,0
"Arsenal","Stoke",1,0,"H","P Walton",9,7,4,4,5,3,8,9,1,2,0,0
"Arsenal","Sunderland",0,0,"D","A Taylor",14,6,7,3,5,6,13,10,3,3,0,0
"West Brom","Arsenal",2,2,"D","S Attwell",4,18,3,11,2,7,9,7,1,3,0,0
"Arsenal","Blackburn",0,0,"D","P Dowd",19,7,11,2,11,4,10,9,1,2,0,1
"Blackpool","Arsenal",1,3,"A","L Mason",12,16,6,7,6,4,13,9,2,2,0,0
"Arsenal","Liverpool",1,1,"D","A Marriner",12,9,6,5,10,3,13,13,2,4,0,0
"Tottenham","Arsenal",3,3,"D","M Atkinson",16,13,9,9,7,6,8,13,0,3,0,0
"Bolton","Arsenal",2,1,"H","M Jones",11,17,10,7,3,9,13,14,3,3,0,0
"Arsenal","Man United",1,0,"H","C Foy",9,11,2,7,3,6,15,7,2,3,0,0
"Stoke","Arsenal",3,1,"H","M Halsey",12,14,7,5,2,5,7,10,1,2,0,0
"Arsenal","Aston Villa",1,2,"A","M Oliver",24,8,15,5,13,2,9,10,1,4,0,0
"Fulham","Arsenal",2,2,"D","M Atkinson",10,12,6,6,5,3,12,5,2,1,1,0
"Newcastle","Arsenal",0,0,"D","P Walton",6,9,1,4,2,5,9,11,3,5,0,1
"Arsenal","Liverpool",0,2,"A","M Atkinson",10,13,6,8,9,5,11,6,2,2,1,0
"Man United","Arsenal",8,2,"H","H Webb",25,19,15,13,3,5,9,7,2,3,0,1
"Arsenal","Swansea",1,0,"H","S Attwell",18,10,8,5,4,5,10,7,3,2,0,0
"Blackburn","Arsenal",4,3,"H","A Marriner",10,24,5,16,2,13,14,9,2,1,0,0
"Arsenal","Bolton",3,0,"H","M Clattenburg",23,3,14,3,9,2,7,9,0,1,0,1
"Tottenham","Arsenal",2,1,"H","M Dean",16,13,8,7,9,7,11,8,2,1,0,0
"Arsenal","Sunderland",2,1,"H","H Webb",20,8,11,4,9,2,9,19,3,3,0,0
"Arsenal","Stoke",3,1,"H","L Mason",9,5,5,2,10,1,9,13,0,2,0,0
"Chelsea","Arsenal",3,5,"A","A Marriner",12,13,10,8,3,2,7,18,2,3,0,0
"Arsenal","West Brom",3,0,"H","M Oliver",12,9,7,4,4,1,12,12,0,0,0,0
"Norwich","Arsenal",1,2,"A","P Dowd",7,20,4,14,1,6,11,9,3,0,0,0
"Arsenal","Fulham",1,1,"D","M Dean",20,10,12,6,13,4,9,7,1,3,0,0
"Wigan","Arsenal",0,4,"A","M Clattenburg",7,16,4,10,4,5,8,12,3,2,0,0
"Arsenal","Everton",1,0,"H","H Webb",12,7,7,1,7,4,7,14,2,2,0,0
"Man City","Arsenal",1,0,"H","P Dowd",15,12,9,8,4,6,13,10,2,3,0,0
"Aston Villa","Arsenal",1,2,"A","J Moss",10,8,4,6,7,15,10,8,2,3,1,0
