HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
"Man United","Stoke",5,0,"H","P Walton",21,3,15,1,3,0,5,15,1,2,0,0
"Aston Villa","Man United",0,0,"D","C Foy",10,12,7,7,3,6,12,15,1,0,0,0
"Man City","Man United",0,1,"A","H Webb",10,12,1,8,3,8,17,15,2,5,0,1
"Man United","Sunderland",1,0,"H","M Halsey",27,2,15,2,10,1,8,8,1,0,0,0
"Tottenham","Man United",0,0,"D","M Dean",11,15,6,12,4,14,10,9,1,1,0,0
"Stoke","Man United",0,1,"A","C Foy",6,17,3,10,6,9,13,7,4,2,1,0
"Man United","Middlesbrough",1,0,"H","M Atkinson",28,7,13,2,8,4,10,17,2,0,0,0
"Man United","Chelsea",3,0,"H","H Webb",14,10,11,6,6,3,14,14,3,5,0,0
"Man United","Wigan",1,0,"H","S Bennett",9,13,6,3,4,6,9,9,0,3,0,0
"Bolton","Man United",0,1,"A","A Marriner",7,16,2,13,1,8,8,5,1,1,0,0
"West Brom","Man United",0,5,"A","R Styles",10,17,4,10,5,4,11,7,5,2,1,0
"Man United","Everton",1,0,"H","M Halsey",17,7,10,4,6,2,11,14,0,0,0,0
"West Ham","Man United",0,1,"A","P Dowd",9,11,5,6,5,11,14,8,1,1,0,0
"Man United","Fulham",3,0,"H","A Marriner",17,5,9,0,11,2,7,13,1,1,0,0
"Man United","Blackburn",2,1,"H","H Webb",15,12,7,7,4,7,7,19,2,2,0,0
"Newcastle","Man United",1,2,"A","S Bennett",9,11,6,9,3,10,10,10,2,2,0,0
"Man United","Liverpool",1,4,"A","A Wiley",14,9,9,6,10,3,14,15,2,3,1,0
"Fulham","Man United",2,0,"H","P Dowd",15,13,6,8,3,4,14,10,2,4,0,2
"Man United","Aston Villa",3,2,"H","M Riley",14,8,9,8,8,4,11,15,1,2,0,0
"Sunderland","Man United",1,2,"A","R Styles",12,18,7,8,5,4,6,3,1,2,0,0
"Man United","Portsmouth",2,0,"H","P Walton",20,5,14,1,6,2,10,8,1,0,0,0
"Man United","Tottenham",5,2,"H","H Webb",21,6,14,4,6,2,14,10,3,3,0,0
"Middlesbrough","Man United",0,2,"A","M Halsey",11,13,5,4,3,3,7,7,1,1,0,0
"Man United","Man City",2,0,"H","C Foy",15,11,7,5,8,7,11,12,1,1,0,0
"Wigan","Man United",1,2,"A","R Styles",13,18,5,9,5,4,11,2,0,0,0,0
"Man United","Arsenal",0,0,"D","M Dean",11,14,5,11,2,6,13,14,0,5,0,0
"Hull","Man United",0,1,"A","A Wiley",12,12,8,5,8,3,17,11,2,1,0,0
"Man United","Birmingham",1,0,"H","L Mason",26,6,17,4,13,2,13,7,1,1,0,0
"Burnley","Man United",1,0,"H","A Wiley",8,18,2,9,1,12,8,12,2,1,0,0
"Wigan","Man United",0,5,"A","H Webb",16,16,7,13,3,5,11,8,2,2,0,0
"Man United","Arsenal",2,1,"H","M Dean",10,9,4,3,6,5,21,15,3,6,0,0
"Tottenham","Man United",1,3,"A","A Marriner",11,17,7,13,3,9,16,13,3,2,0,1
"Man United","Man City",4,3,"H","M Atkinson",21,10,11,6,11,1,15,14,2,2,0,0
"Stoke","Man United",0,2,"A","H Webb",2,13,1,7,2,7,9,8,1,1,0,0
"Man United","Sunderland",2,2,"D","A Wiley",17,4,9,3,14,1,11,15,2,3,0,1
"Man United","Bolton",2,1,"H","M Clattenburg",13,15,7,7,13,1,15,8,0,1,0,0
"Liverpool","Man United",2,0,"H","A Marriner",11,7,6,5,5,1,20,11,2,3,1,1
"Man United","Blackburn",2,0,"H","P Dowd",20,2,11,1,7,2,10,21,0,2,0,0
"Chelsea","Man United",1,0,"H","Mn Atkinson",12,21,9,10,0,7,13,15,3,3,0,0
"Man United","Everton",3,0,"H","S Bennett",18,11,11,5,13,4,4,6,2,2,0,0
"Portsmouth","Man United",1,4,"A","M Dean",20,12,12,8,4,8,16,10,4,3,0,0
"West Ham","Man United",0,4,"A","P Walton",11,18,7,11,2,8,8,16,0,1,0,0
"Man United","Aston Villa",0,1,"A","M Atkinson",16,8,9,5,9,4,4,14,1,1,0,0
"Man United","Wolves",3,0,"H","S Bennett",12,4,9,1,8,3,11,11,1,1,0,0
"Fulham","Man United",3,0,"H","H Webb",10,16,7,4,5,2,10,9,0,1,0,0
"Hull","Man United",1,3,"A","A Wiley",12,19,6,11,5,6,13,17,0,2,0,0
"Man United","Wigan",5,0,"H","L Mason",23,11,16,6,7,3,6,11,0,1,0,0
"Birmingham","Man United",1,1,"D","M Clattenburg",6,14,5,10,2,12,10,13,2,1,0,1
"Man United","Burnley",3,0,"H","L Probert",24,11,11,5,7,1,12,7,0,0,0,0
"Man United","Hull",4,0,"H","S Bennett",25,8,15,4,12,8,6,10,1,1,0,0
"Arsenal","Man United",1,3,"A","C Foy",18,11,7,5,8,5,9,12,1,0,0,0
"Man United","Portsmouth",5,0,"H","L Mason",21,7,8,5,12,1,9,11,1,4,0,0
"Aston Villa","Man United",1,1,"D","P Walton",10,12,6,6,1,7,9,10,0,1,0,1
"Everton","Man United",3,1,"H","H Webb",11,11,7,5,4,12,12,10,5,1,0,0
"Man United","West Ham",3,0,"H","A Wiley",12,10,9,4,6,7,10,12,0,1,0,0
"Wolves","Man United",0,1,"A","P Walton",12,15,6,6,2,4,9,8,2,1,0,0
"Man United","Fulham",3,0,"H","M Jones",33,8,19,5,11,1,7,11,1,1,0,0
"Man United","Liverpool",2,1,"H","H Webb",10,4,5,2,1,2,10,15,2,3,0,0
"Bolton","Man United",0,4,"A","M Atkinson",14,13,10,8,11,6,14,15,0,0,0,0
"Man United","Chelsea",1,2,"A","M Dean",9,11,3,5,3,3,14,11,3,1,0,0
"Blackburn","Man United",0,0,"D","P Walton",8,13,7,6,1,7,14,12,1,2,0,0
"Man City","Man United",0,1,"A","M Atkinson",8,13,5,3,7,5,8,12,2,1,0,0
"Man United","Tottenham",3,1,"H","A Marriner",15,9,8,3,4,4,13,10,1,0,0,0
"Sunderland","Man United",0,1,"A","S Bennett",10,14,2,9,9,4,10,9,3,2,0,0
"Man United","Stoke",4,0,"H","M Clattenburg",18,4,13,4,10,2,10,4,2,0,0,0
"Man United","Newcastle",3,0,"H","C Foy",18,7,10,3,5,3,9,5,2,2,0,0
"Fulham","Man United",2,2,"D","P Walton",16,14,8,7,5,11,7,6,2,2,0,0
"Man United","West Ham",3,0,"H","M Clattenburg",18,7,11,2,9,3,6,11,1,2,0,0
"Everton","Man United",3,3,"D","M Atkinson",23,13,14,8,7,5,11,18,1,1,0,0
"Man United","Liverpool",3,2,"H","H Webb",16,7,7,1,6,1,15,10,4,1,0,0
"Bolton","Man United",2,2,"D","P Dowd",15,12,9,6,7,12,16,18,1,2,0,0
"Sunderland","Man United",0,0,"D","C Foy",14,10,8,4,10,4,10,6,1,2,0,0
"Man United","West Brom",2,2,"D","M Jones",16,7,9,2,3,2,10,7,1,2,0,0
"Stoke","Man United",1,2,"A","A Marriner",6,12,2,5,5,6,6,13,2,2,0,0
"Man United","Tottenham",2,0,"H","M Clattenburg",18,11,10,5,1,4,12,10,0,3,0,0
"Man United","Wolves",2,1,"H","P Dowd",14,8,10,6,3,2,6,11,1,0,0,0
"Man City","Man United",0,0,"D","C Foy",6,7,4,4,8,5,10,12,0,2,0,0
"Aston Villa","Man United",2,2,"D","M Dean",12,16,6,10,9,7,11,9,3,4,0,0
"Man United","Wigan",2,0,"H","M Atkinson",17,10,12,4,11,1,10,14,0,2,0,2
"Man United","Blackburn",7,1,"H","L Probert",15,3,11,2,5,2,6,6,0,2,0,0
"Man United","Arsenal",1,0,"H","H Webb",14,11,10,6,5,4,7,16,0,4,0,0
"Man United","Sunderland",2,0,"H","P Dowd",14,6,10,2,5,3,9,10,0,2,0,0
"Birmingham","Man United",1,1,"D","L Mason",8,10,3,4,4,4,10,11,3,3,0,0
"West Brom","Man United",1,2,"A","C Foy",17,5,8,3,4,5,8,13,1,3,0,0
"Man United","Stoke",2,1,"H","M Clattenburg",18,5,7,1,6,1,6,11,0,0,0,0
"Tottenham","Man United",0,0,"D","M Dean",16,7,6,4,8,2,9,18,2,4,0,1
"Man United","Birmingham",5,0,"H","M Jones",23,6,9,1,10,3,10,5,0,0,0,0
"Blackpool","Man United",2,3,"A","P Walton",6,17,4,13,6,7,10,10,1,2,0,0
"Man United","Aston Villa",3,1,"H","C Foy",18,9,11,5,5,5,6,6,0,0,0,0
"Wolves","Man United",2,1,"H","M Oliver",6,14,5,7,4,6,6,11,2,2,0,0
"Man United","Man City",2,1,"H","A Marriner",11,13,6,8,4,7,15,13,2,2,0,0
"Wigan","Man United",0,4,"A","M Clattenburg",10,14,4,9,8,4,13,11,0,1,0,0
"Chelsea","Man United",2,1,"H","M Atkinson",17,12,11,7,10,2,11,14,3,2,0,1
"Liverpool","Man United",3,1,"H","P Dowd",17,12,10,7,6,4,12,12,2,3,0,0
"Man United","Bolton",1,0,"H","A Marriner",14,11,8,6,12,5,8,11,0,0,1,0
"West Ham","Man United",2,4,"A","L Mason",6,18,2,9,0,16,10,9,1,2,0,0
"Man United","Fulham",2,0,"H","M Jones",16,12,12,5,8,3,12,8,0,0,0,0
"Newcastle","Man United",0,0,"D","L Probert",12,18,5,8,6,7,9,10,2,2,0,0
"Man United","Everton",1,0,"H","P Walton",21,5,12,3,13,1,10,9,1,2,0,0
"Arsenal","Man United",1,0,"H","C Foy",9,11,2,7,3,6,15,7,2,3,0,0
"Man United","Chelsea",2,1,"H","H Webb",13,19,8,11,7,2,12,14,2,4,0,0
"Blackburn","Man United",1,1,"D","P Dowd",6,9,2,4,2,6,11,11,3,0,0,0
"Man United","Blackpool",4,2,"H","M Dean",18,14,11,7,8,8,8,5,2,1,0,0
"West Brom","Man United",1,2,"A","M Jones",14,11,8,5,6,5,16,9,3,2,0,0
"Man United","Tottenham",3,0,"H","L Probert",27,20,21,12,11,3,12,9,1,2,0,0
"Man United","Arsenal",8,2,"H","H Webb",25,19,15,13,3,5,9,7,2,3,0,1
"Bolton","Man United",0,5,"A","A Marriner",20,13,13,9,5,7,14,1,2,0,0,0
"Man United","Chelsea",3,1,"H","P Dowd",12,20,7,9,4,10,11,12,2,3,0,0
"Stoke","Man United",1,1,"D","P Walton",14,13,8,9,8,8,10,3,1,0,0,0
"Man United","Norwich",2,0,"H","S Attwell",17,13,9,6,10,3,9,6,1,0,0,0
"Liverpool","Man United",1,1,"D","A Marriner",14,10,8,3,8,3,8,11,1,3,0,0
"Man United","Man City",1,6,"A","M Clattenburg",12,19,8,12,7,4,15,11,4,4,1,0
"Everton","Man United",0,1,"A","M Halsey",18,7,11,6,4,1,12,8,3,0,0,0
"Man United","Sunderland",1,0,"H","L Mason",15,9,9,3,6,2,6,14,0,2,0,0
"Swansea","Man United",0,1,"A","M Dean",9,13,6,7,6,2,6,9,0,1,0,0
"Man United","Newcastle",1,1,"D","M Jones",23,8,13,6,11,3,12,15,1,4,0,1
"Aston Villa","Man United",0,1,"A","L Probert",7,11,3,5,5,5,4,11,0,0,0,0
"Man United","Wolves",4,1,"H","M Oliver",22,11,18,8,8,2,7,8,1,0,0,0
"QPR","Man United",0,2,"A","H Webb",11,19,3,12,5,10,5,7,1,2,0,0
"Fulham","Man United",0,5,"A","M Halsey",13,14,8,12,3,10,7,8,1,0,0,0
"Man United","Wigan",5,0,"H","P Dowd",17,9,9,5,10,2,12,10,2,1,0,1
"Man United","Blackburn",2,3,"A","M Dean",26,10,13,5,17,3,8,10,2,2,0,0
"Newcastle","Man United",3,0,"H","H Webb",10,6,6,6,4,4,16,15,1,2,0,0
"Man United","Bolton",3,0,"H","P Walton",19,11,9,5,11,3,7,7,0,1,0,0
"Arsenal","Man United",1,2,"A","M Dean",12,9,6,5,0,5,15,6,5,2,0,0
"Man United","Stoke",2,0,"H","M Jones",11,8,7,3,9,2,9,14,1,3,0,0
"Chelsea","Man United",3,3,"D","H Webb",19,14,10,10,6,6,14,13,2,1,0,0
"Man United","Liverpool",2,1,"H","P Dowd",11,9,6,6,4,3,10,11,1,1,0,0
"Norwich","Man United",1,2,"A","A Marriner",16,11,7,9,4,4,9,10,1,2,0,0
"Tottenham","Man United",1,3,"A","M Atkinson",18,6,9,5,7,3,8,10,1,2,0,0
"Man United","West Brom",2,0,"H","L Probert",20,6,9,3,8,5,5,13,0,1,0,1
